A ^MAR ^MASR MASR MSV SK SLK QLK QLC $QPC $PC P.
A MA BMAR BMSR $BS $QS QV :QV : ^ ^P P.
A AR $^MARV $ASR $S QS Q L PLC PC PC PC.
-QMAPSRC A AR MAR MA S S QSC QPSC -PSC -PC P.
A MAR $MSRV $BS B<S B<QS Q Q LK PLCK PC P.
A MAR MASR MASR ASRK SK $QSVK $^QSVCK $^QPVC $QPC PC P.
A MAR $MASRV $<QMASV <QS <QSLK <QPSLK QPLCK PLCK PLC PC PC.
A MASR BJMASR BJMASRY BQMSRYZ QRYZ QCYZ PCZ PCZ PCZ PC P.
%A %AR %^"MAR ^"MAR ^":MSR ":MS "SLC "PLCZ PLCZ }PCZ }PZ }.
A MASR MASR ^MASR ^ASR $^QSR $QPS $QPC QPC PC P P.
A $BA $BUA $BUAY UMAY UMSY UMSYZ MSYZ PSZ PCZ PC P.
A UARY BUMARY BUMARY BMSRY BSRY SY QS QPZ QPCZ QPCZ PC.
A ^A ^ARV $ARV $MRV $MSR <QMSL <QMSL H<QSC H<QPC H<PC P.
A <AR <MAR <MAR <MARL <MLZ MLZ MCZ PCZ PCZ PC P.
A AR AR URY U<MY BU<MSY BU<MSY BU<SCYZ BPSCZ BPCZ PCZ P.
A <AR B<MAR B<QMASR BQMSR QSL QSLCK QPSLCKZ }QPCKZ }PZ F}P F.
A <AR B<AR B<MASR MASR QMASK QMPSK QPSLKZ QPSLCKZ QPSLCKZ PCK P.
A AR AR MASRK MSRK QMSRLK QSLKZ QPSLCKZ QPSLCZ QPLCZ PCZ P.
A MA BMAR BMASRK B<MASRK B<MSK B<QSCK B<QSCKZ B<QPCZ <QPCZ P P.
A AR JAR OJMAR OJMAK JMASLKE $QSLKE $QSE $QPSC $PC $PC PC.
A MA MASR MASR QMSR QSRL QSL QSLC PLC PC PC P.
A A O$MAR O$<MR B<MS B<QMS <QSCZ QPLCZ QPLCZ PLC P .
GA GAT G/ART /<RT /<MT <M BQSZ BQSZ BQPSDZ QPCDZ PC PC.
A AR <ASRT <ASRT ><JST B><JZT B/>JQZ B/QCDZ /QP;CDZ QP;CDZ PC P.
<A <JMAE B<JMASYE BU<JMSYE BUSYE BUSYE BUS BU UP UP PZ P.
A A AR BMASRE MSRE QMSRZE QPRZE PCZE PLCZE PLCZ PCZ }.
A AR /ARW;Y /RW;Y BSRWY BSWY BSWY BUY UYZ UZ UZ U.
A JARE ARE MSR MSRK QMSK QMSLK QLK QPCKZ QPCKZ PCZ }P.
A BIMAE BIMARYE BIMARYE BIMRYE UJMRE UJM UJCZ UPCZ UPCZ PZ }Z.
A MA MAR MARY RY UY UCZ UCZ CZ PC PC P.
A AR MASR MSR MSR CZ CZ PCZ HPCZ H}PZ H}Z }.
A AR MAR MARY RY YZ UWYZ UWZ UPZ UPZ UPZ P.
A /AR /MARY /MRY /MRY UMSR UMS UZ PZ PZ P P.
A /AR /ARY B/<RY B<MRY BMY UMY UMW UMWZ UPZ PZ P.
A AR $AR RZ Z Z MSZ C P P }P }.
A $A IJMAR BIJMASR BAS QSZ QSZ CZ CZ PZ PZ }.
A $A A MAS MS S ^ C PVLC PVLC P P.
AR BMASR BQMASR QAS A Z <Z <CZ <PCZ PCZ Z Z.
A A AR ASR HBIS HB   C PC P P.
A MAR UMARY UMRY UMSY BUSCY BSC C CZ PCZ PZ }P.
A AR BMARE BMASRE BSE BE CZ PCZ PCZ PZ }PZ }.
A BJASRK $BJQASRK $BJQASRK $QSVE $QVE QCZE CZE CZ CZ PZ P.
A ^AR $^MASR $^MASR ^MASRL ^MLCZ LCZ PLCZ *PCZ *PZ *P *.
A UAR UAR UA UM UMS MS MSC PSC PC PC P.
AS MAS MASL HMASL HMASLC HLC HCZ HPCZ HPCZ PZ PZ P.
A A QA ^QA ^QA ^QA $HQ $HQL HLC PC }P .
A AR ASR MASR MASR MASRZ QMAPRLCZ QMPRLCZ QPLZ QPLZ QPLZ Z.
A AY AY UAY UY UY UMY MSCY MSC C P P.
A AR HAR HBAR HBAR HBQR HBQ HBQZ CZ PCZ }P }.
A A R ^MSR ^MS MSK SK QSLK QL $QC $PC P.
A M BMR BSR $BS  Q :QV : : ^: P.
A AR $^MRV ^SR ^ Q Q  L C PC PC.
-QMAPSRC A AR MR M MS S QSC QC -C -PC P.
A MAR $MSRV $S <S <QS BQ BQ LK LK PC P.
A MAR MASR MASR ASRK SK $QSVK $^QSVCK $^QPVC $QPC PC P.
A AR $MSRV $MSV S <QSLK <QSLK QLC QC C PC PC.
A ASR BSR BJMSY BQMSY Q QZ CZ CZ CZ PC P.
%A %AR %^"R ^"MR ^":MS "MS "SZ PZ PLCZ }PCZ }PZ }.
A MAR MR ^MR ^SR $^QS $QS $QC QC PC P P.
A A $BU $BUY UMY UMSY UMSYZ MSYZ SZ C PC P.
